Z19,Z19,Mean, Outer Edge Length, Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i re,fl' re,fk' re,fi' re,F'i li,fl' li,fk' li,fi' li
+31_2D.txt,31.0,1825.543367,9.314775717,0.000123539,2532849020.0,7.428479801,0.187549541,7.240930261,9993.0949,13.01466,9993.24007,9993.0949,9993.87076,14.29474,9995.28085,9993.87076
+32_2D.txt,32.0,1825.517209,9.315591715,0.000122042,2532849115.0,7.428624229,0.187446036,7.241178193,9993.50946,6.92016,9994.09981,9993.50946,9994.88214,8.61182,9996.36136,9994.88214
+33_2D.txt,33.0,1825.518599,9.335981582,0.000122247,2532849110.0,7.428566155,0.187453916,7.241112239,9998.86914,15.92261,9999.21293,9998.86914,10000.57411,19.60958,10000.53408,10000.57411
+34_2D.txt,34.0,1825.515793,9.401572758,0.000121767,2532849120.0,7.428563775,0.187547436,7.241016339,10003.07259,17.2887,10003.54954,10003.07259,10001.5353,15.95283,10001.88283,10001.5353
+35_2D.txt,35.0,1825.499562,9.314479689,0.000120479,2532849179.0,7.428548584,0.187413943,7.241134641,10006.68186,11.28062,10007.03393,10006.68186,10007.62742,12.42193,10009.467,10007.62742
+36_2D.txt,36.0,1825.501856,9.432067082,0.000122275,2532849171.0,7.428532949,0.187521818,7.241011131,10012.42008,11.78851,10014.47703,10012.42008,10015.17376,13.43068,10015.96249,10015.17376
+37_2D.txt,37.0,1825.495017,9.242887448,0.000120354,2532849196.0,7.428232426,0.187543597,7.240688829,10010.20474,12.06118,10011.89421,10010.20474,10008.34746,9.65252,10010.53323,10008.34746
+38_2D.txt,38.0,1825.499193,9.384334102,0.000122412,2532849181.0,7.428537651,0.187448114,7.241089536,10015.03989,13.3569,10015.07857,10015.03989,10016.80111,14.96233,10016.72413,10016.80111
+39_2D.txt,39.0,1825.509067,9.496002768,0.000124149,2532849145.0,7.428287144,0.187479756,7.240807389,10005.88728,13.15353,10008.47382,10005.88728,10005.6525,9.78397,10007.11503,10005.6525
+40_2D.txt,40.0,1825.514437,9.309186034,0.000123009,2532849125.0,7.428480641,0.187495451,7.24098519,10001.79904,12.69686,10003.62351,10001.79904,10004.17255,9.95483,10004.51993,10004.17255
+41_2D.txt,41.0,1825.51046,9.342890036,0.000121241,2532849140.0,7.428568612,0.187552479,7.241016133,10009.17943,13.2258,10009.21153,10009.17943,10008.79958,15.81788,10009.58256,10008.79958
+42_2D.txt,42.0,1825.498164,9.247660345,0.000121027,2532849184.0,7.42859169,0.187512326,7.241079365,10011.94416,9.84738,10012.23526,10011.94416,10013.97131,14.09495,10014.87233,10013.97131
+43_2D.txt,43.0,1825.498076,9.28436724,0.000119372,2532849185.0,7.428211199,0.187489251,7.240721948,10017.64795,13.18659,10018.16055,10017.64795,10021.322,17.3222,10021.92565,10021.322
+44_2D.txt,44.0,1825.491048,9.215261577,0.000119955,2532849210.0,7.428539645,0.18775708,7.240782565,10013.11923,13.00176,10014.94241,10013.11923,10014.49744,13.383,10015.39855,10014.49744
+45_2D.txt,45.0,1825.50249,9.41000571,0.000122184,2532849169.0,7.428547744,0.187535779,7.241011965,10006.5218,7.81322,10006.63833,10006.5218,10009.51536,9.08078,10009.81938,10009.51536
+46_2D.txt,46.0,1825.509087,9.264099435,0.000121071,2532849145.0,7.428541922,0.187498344,7.241043579,10009.12096,15.74002,10009.43844,10009.12096,10009.69611,14.476,10012.02928,10009.69611
+47_2D.txt,47.0,1825.502862,9.428939809,0.000122427,2532849167.0,7.428551316,0.187418327,7.241132988,9997.32475,6.45415,9998.15101,9997.32475,9997.48644,6.44854,9998.92433,9997.48644
+48_2D.txt,48.0,1825.512619,9.479686644,0.000124453,2532849132.0,7.428569786,0.187467956,7.24110183,10014.13171,14.94377,10014.63121,10014.13171,10004.61369,17.48989,10005.31038,10004.61369
+49_2D.txt,49.0,1825.519179,9.452057062,0.000122885,2532849108.0,7.428632192,0.187492858,7.241139334,9997.86419,7.91364,9998.44139,9997.86419,9998.72274,10.8695,9999.51993,9998.72274
+50_2D.txt,50.0,1825.51661,9.567445706,0.000125818,2532849117.0,7.428619396,0.187550713,7.241068683,10003.87991,17.23273,10003.98127,10003.87991,10001.75801,17.35337,10002.4328,10001.75801
+51_2D.txt,51.0,1825.517163,9.37596451,0.000122651,2532849115.0,7.428550576,0.18745326,7.241097316,10013.64498,11.62515,10018.00954,10013.64498,10000.15495,8.13002,10004.22428,10000.15495
+52_2D.txt,52.0,1825.51886,9.316600605,0.000122942,2532849109.0,7.42855014,0.187438274,7.241111865,10007.52553,20.03602,10007.79678,10007.52553,10004.1734,19.58892,10008.07317,10004.1734
+53_2D.txt,53.0,1825.494418,9.174884714,0.00011858,2532849198.0,7.428522501,0.18745472,7.241067781,10017.69174,10.64527,10018.82889,10017.69174,10015.35955,9.5492,10016.56579,10015.35955
+54_2D.txt,54.0,1825.510637,9.34922148,0.000122216,2532849139.0,7.428601825,0.187546764,7.241055061,10003.21637,11.44269,10004.12813,10003.21637,10004.4631,14.37173,10005.88451,10004.4631
+55_2D.txt,55.0,1825.505645,9.370683392,0.000120449,2532849157.0,7.428570802,0.187533497,7.241037304,10012.30964,15.72611,10013.69971,10012.30964,10014.1238,16.29548,10015.10528,10014.1238
+56_2D.txt,56.0,1825.489993,9.185859051,0.000119403,2532849214.0,7.428782094,0.187425648,7.241356446,10012.69462,12.73835,10015.30096,10012.69462,10013.30531,9.77009,10014.48391,10013.30531
+57_2D.txt,57.0,1825.494633,9.228823526,0.000119333,2532849197.0,7.428433761,0.187509701,7.24092406,10016.27148,11.25214,10018.67197,10016.27148,10019.00718,14.56318,10023.54999,10019.00718
+58_2D.txt,58.0,1825.492724,9.194361127,0.000119025,2532849204.0,7.428235809,0.187442493,7.240793317,10022.83227,12.92344,10022.91351,10022.83227,10022.85734,15.41212,10027.76058,10022.85734
+59_2D.txt,59.0,1825.484896,9.205047264,0.000118019,2532849233.0,7.428285069,0.187464249,7.24082082,10050.33873,7.11941,10055.92506,10050.33873,10028.63791,9.31929,10031.04244,10028.63791
+60_2D.txt,60.0,1825.493717,9.082375425,0.000115802,2532849201.0,7.429073647,0.18753458,7.241539067,10026.73564,8.85197,10027.00944,10026.73564,10027.89704,11.81926,10030.08652,10027.89704
+61_2D.txt,61.0,1825.493594,9.163370403,0.00011905,2532849201.0,7.428515015,0.187517995,7.240997021,10019.90868,9.15032,10020.29193,10019.90868,10022.18581,11.96544,10022.21134,10022.18581
+62_2D.txt,62.0,1825.498193,9.080920469,0.000111606,2532849184.0,7.429065993,0.187386807,7.241679186,10026.36465,13.54032,10028.35827,10026.36465,10040.13857,18.4477,10040.27057,10040.13857
+63_2D.txt,63.0,1825.494707,9.070022094,0.000117235,2532849197.0,7.428510729,0.187493545,7.241017183,10022.34813,7.6438,10025.14105,10022.34813,10046.44014,4.81505,10050.58155,10046.44014
+64_2D.txt,64.0,1825.484638,8.97685664,0.000113886,2532849234.0,7.428433626,0.18753828,7.240895346,10034.72648,18.23102,10038.86476,10034.72648,10038.7604,19.88751,10038.74567,10038.7604
+65_2D.txt,65.0,1825.499901,9.228580837,0.000119378,2532849178.0,7.429051165,0.18752017,7.241530996,10025.64483,13.79441,10027.33138,10025.64483,10027.52554,16.13501,10031.97537,10027.52554
+66_2D.txt,66.0,1825.500925,9.38504083,0.000121853,2532849174.0,7.428206411,0.18754928,7.240657131,10014.38289,7.71733,10016.35758,10014.38289,10020.75688,8.44008,10026.55426,10020.75688
+67_2D.txt,67.0,1825.497457,9.218075798,0.000119151,2532849187.0,7.428516045,0.187552479,7.240963566,10024.76987,19.96962,10028.69844,10024.76987,10027.34855,19.75771,10028.62842,10027.34855
+68_2D.txt,68.0,1825.496018,9.205115634,0.000118651,2532849192.0,7.42850759,0.187407976,7.241099614,10021.81053,11.12969,10023.36994,10021.81053,10024.66946,14.7465,10028.14785,10024.66946
+69_2D.txt,69.0,1825.494348,9.139763594,0.000118469,2532849198.0,7.428560667,0.187490547,7.24107012,10019.14943,10.642,10021.99668,10019.14943,10021.02478,9.92837,10023.69275,10021.02478
+70_2D.txt,70.0,1825.504006,9.162327235,0.000118979,2532849163.0,7.42852844,0.187727096,7.240801344,10019.86934,9.33832,10020.34277,10019.86934,10019.85654,14.4864,10020.64385,10019.85654
+71_2D.txt,71.0,1825.490653,9.116426126,0.00011916,2532849212.0,7.428276153,0.18745626,7.240819893,10018.07497,8.02252,10018.2871,10018.07497,10017.90542,11.31128,10020.00631,10017.90542
+72_2D.txt,72.0,1825.506591,9.308948598,0.000121306,2532849154.0,7.428314209,0.18753458,7.240779628,10011.0626,3.93508,10011.97733,10011.0626,10011.22071,4.03074,10012.4624,10011.22071
+73_2D.txt,73.0,1825.504931,9.38693728,0.000122775,2532849160.0,7.428527623,0.187485136,7.241042487,10007.19278,10.73837,10008.42865,10007.19278,10009.94881,13.93925,10010.85498,10009.94881
+74_2D.txt,74.0,1825.514531,9.348702682,0.0001234,2532849125.0,7.428504773,0.187547436,7.240957337,10007.52171,11.20482,10008.77823,10007.52171,10008.2809,12.96652,10008.91209,10008.2809
+75_2D.txt,75.0,1825.515581,9.433061091,0.000124258,2532849121.0,7.428266901,0.187426524,7.240840377,10005.71314,20.31448,10006.61017,10005.71314,10008.16659,25.10623,10010.95364,10008.16659
+76_2D.txt,76.0,1825.511274,9.472382327,0.000122448,2532849137.0,7.428623102,0.187513498,7.241109604,10012.31398,23.00982,10013.21823,10012.31398,10007.60685,21.40753,10008.43006,10007.60685
+77_2D.txt,77.0,1825.501456,9.32878833,0.000121704,2532849172.0,7.428874908,0.187406357,7.241468551,10006.89254,9.49931,10008.24555,10006.89254,10003.58548,6.48151,10003.56563,10003.58548
+78_2D.txt,78.0,1825.506895,9.468686329,0.000123189,2532849153.0,7.428551089,0.18746041,7.241090678,10018.36146,23.71587,10019.00116,10018.36146,10026.38747,20.22631,10027.90061,10026.38747
+79_2D.txt,79.0,1825.512604,9.3207779,0.000123294,2532849132.0,7.428217083,0.18753458,7.240682503,10016.2263,18.66933,10016.2054,10016.2263,10011.31877,17.18042,10011.42626,10011.31877
+80_2D.txt,80.0,1825.507593,9.547083906,0.000126068,2532849150.0,7.428330544,0.187543999,7.240786545,10009.3976,10.14942,10010.02251,10009.3976,10010.39251,14.08928,10011.53754,10010.39251
+81_2D.txt,81.0,1825.505968,9.355518899,0.000120893,2532849156.0,7.42855839,0.187561903,7.240996487,10012.89901,15.41375,10014.34241,10012.89901,10008.12889,15.72471,10010.91893,10008.12889
+82_2D.txt,82.0,1825.501264,9.344937895,0.000122104,2532849173.0,7.428221634,0.187430605,7.240791029,10011.3398,14.63455,10012.59541,10011.3398,10013.38882,18.46304,10013.77174,10013.38882
+84_2D.txt,84.0,1825.495386,9.405698912,0.000122305,2532849195.0,7.428516769,0.187400551,7.241116218,10024.31833,16.32725,10025.95927,10024.31833,10021.97821,16.91209,10023.44018,10021.97821
+85_2D.txt,85.0,1825.496841,9.221900418,0.000120479,2532849189.0,7.428526616,0.187511908,7.241014709,10023.83914,15.98936,10023.80808,10023.83914,10022.77634,16.40168,10022.82639,10022.77634
+86_2D.txt,86.0,1825.517144,9.354372142,0.00012197,2532849115.0,7.428545812,0.187650028,7.240895784,10019.42347,21.79118,10019.47202,10019.42347,10016.58004,19.05773,10016.70467,10016.58004
