File,max_Deviation,min_Deviation,span_Deviation
+05.xyz,7.4285373297723964,0.18740157050836048,7.241135759264036
+11.xyz,7.428564006360987,0.1875407789948629,7.241023227366124
+39.xyz,7.428287144434914,0.1874797559124718,7.240807388522442
+38.xyz,7.428537650500939,0.18744811408227077,7.241089536418668
+10.xyz,7.428626146585855,0.18754610429705013,7.241080042288805
+04.xyz,7.4285391735248325,0.1874419905063964,7.241097183018436
+12.xyz,7.428322172225031,0.1875460926412491,7.240776079583782
+06.xyz,7.428534764453485,0.18754299982937248,7.240991764624113
+07.xyz,7.42894127009024,0.1874237077479794,7.241517562342261
+13.xyz,7.428262491422943,0.1875561820815299,7.240706309341413
+17.xyz,7.428426184394242,0.18754676425361222,7.2408794201406295
+03.xyz,7.428386661915359,0.18741318052901187,7.240973481386347
+02.xyz,7.428476193980432,0.18743767733836225,7.241038516642069
+16.xyz,7.429016247856374,0.1874740845397038,7.24154216331667
+28.xyz,7.429038975798957,0.18746772251510394,7.241571253283853
+14.xyz,7.428647990405859,0.1875492802225591,7.241098710183301
+15.xyz,7.428260664262329,0.18752168989746226,7.2407389743648665
+01.xyz,7.428544359794319,0.18753349738380073,7.241010862410518
+29.xyz,7.428810736352556,0.18742633655385788,7.241384399798698
+66.xyz,7.4282064109939085,0.1875492802225591,7.24065713077135
+72.xyz,7.428314208546916,0.18753458047784147,7.240779628069075
+99.xyz,7.428560464863499,0.18747271589487363,7.241087748968625
+98.xyz,7.42836390867444,0.1874194127245094,7.240944495949931
+73.xyz,7.428527622991046,0.1874851357948144,7.241042487196232
+67.xyz,7.42851604535482,0.18755247899454705,7.240963566360272
+71.xyz,7.428276152889444,0.18745626029823598,7.240819892591207
+65.xyz,7.4290511654747,0.1875201696698251,7.241530995804875
+59.xyz,7.428285068696273,0.1874642488049388,7.240820819891335
+58.xyz,7.428235809450586,0.18744249264774518,7.24079331680284
+64.xyz,7.428433626070169,0.187538280468282,7.240895345601887
+70.xyz,7.428528440497553,0.18772709617154368,7.24080134432601
+48.xyz,7.428569786147331,0.18746795583779113,7.24110183030954
+74.xyz,7.428504772612925,0.1875474358795662,7.240957336733358
+60.xyz,7.429073647476245,0.18753458047784147,7.241539066998404
+61.xyz,7.428515015382079,0.18751799469384264,7.240997020688236
+75.xyz,7.428266900958864,0.187426524112784,7.24084037684608
+49.xyz,7.428632192031249,0.18749285833332427,7.241139333697925
+63.xyz,7.4285107285476135,0.1874935453662339,7.24101718318138
+77.xyz,7.428874907718598,0.1874063571093574,7.24146855060924
+88.xyz,7.428395735993809,0.1874347573130448,7.240960978680764
+89.xyz,7.428215372033514,0.18742029926611473,7.2407950727673995
+76.xyz,7.4286231022706355,0.18751349841011447,7.241109603860521
+62.xyz,7.4290659933455965,0.18738680703560748,7.241679186309989
+47.xyz,7.428551315724689,0.1874183274655923,7.241132988259096
+53.xyz,7.428522501063789,0.18745472010328254,7.241067780960506
+84.xyz,7.42851676928268,0.1874005509223492,7.2411162183603315
+90.xyz,7.428579258834761,0.187413257252522,7.241166001582239
+91.xyz,7.428543908506565,0.18741284581639542,7.24113106269017
+85.xyz,7.428526616464735,0.1875119075525605,7.241014708912174
+52.xyz,7.428550139763816,0.18743827442921043,7.241111865334606
+46.xyz,7.42854192228024,0.18749834361135034,7.241043578668889
+50.xyz,7.428619396410278,0.18755071334974974,7.241068683060528
+44.xyz,7.428539645441358,0.18775708000765243,7.2407825654337055
+78.xyz,7.428551088787437,0.18746041039910266,7.241090678388334
+93.xyz,7.428520646211061,0.18753416921190655,7.240986476999155
+87.xyz,7.428564824381222,0.18753390864587663,7.241030915735345
+86.xyz,7.428545811957614,0.18765002824140475,7.240895783716209
+92.xyz,7.428251379132844,0.18748922864794126,7.240762150484903
+79.xyz,7.428217083189949,0.18753458047784147,7.240682502712108
+45.xyz,7.428547744264285,0.1875357791809339,7.241011965083351
+51.xyz,7.428550576211621,0.1874532597129215,7.241097316498699
+69.xyz,7.4285606671133815,0.18749054672169474,7.2410701203916865
+55.xyz,7.4285708018165915,0.18753349738380073,7.2410373044327905
+41.xyz,7.428568612101661,0.18755247899454705,7.241016133107114
+96.xyz,7.428612545911181,0.18754105750208405,7.241071488409097
+82.xyz,7.428221633824209,0.18743060523030916,7.2407910285938994
+97.xyz,7.4285373297723964,0.18753296477153023,7.241004365000866
+40.xyz,7.428480641322962,0.18749545093681605,7.240985190386146
+54.xyz,7.428601824957507,0.18754676425361222,7.241055060703895
+68.xyz,7.428507589776698,0.18740797623900643,7.241099613537692
+42.xyz,7.428591690416427,0.18751232552021746,7.241079364896209
+56.xyz,7.4287820938604066,0.18742564798874245,7.241356445871664
+81.xyz,7.428558389797849,0.18756190306669424,7.240996486731155
+95.xyz,7.428616087050804,0.1874319140434734,7.241184173007331
+94.xyz,7.428548617736711,0.1875205735406118,7.241028044196099
+80.xyz,7.428330544138501,0.18754399902956106,7.24078654510894
+57.xyz,7.428433761377024,0.1875097013650227,7.240924060012001
+43.xyz,7.4282111985476025,0.18748925072920847,7.240721947818394
+100.xyz,7.4284470635918245,0.18745169822650315,7.240995365365321
+24.xyz,7.428526658677211,0.18752124794273317,7.241005410734478
+30.xyz,7.42857967516254,0.18743536133024633,7.241144313832294
+18.xyz,7.428643199636459,0.18755886177144496,7.241084337865014
+19.xyz,7.428445104112368,0.1874175840789759,7.241027520033391
+31.xyz,7.428479801288889,0.18754954063926682,7.240930260649622
+25.xyz,7.4285388262117875,0.18743727828529735,7.24110154792649
+33.xyz,7.428566155450593,0.18745391643814754,7.241112239012446
+27.xyz,7.4289592435720095,0.18743225202990013,7.241526991542109
+26.xyz,7.428980553377294,0.1874578975050131,7.241522655872282
+32.xyz,7.428624228743098,0.18744603610372773,7.241178192639371
+36.xyz,7.428532948878668,0.18752181792260866,7.241011130956059
+22.xyz,7.428552494086584,0.1874480507340634,7.241104443352521
+23.xyz,7.428573901452485,0.18752200624460055,7.241051895207884
+37.xyz,7.428232426052041,0.18754359708078547,7.240688828971256
+09.xyz,7.428552330432424,0.18750588138509147,7.2410464490473325
+21.xyz,7.428623464169724,0.18754559156642417,7.2410778726033
+35.xyz,7.428548584041502,0.18741394289913438,7.241134641142368
+34.xyz,7.428563774756464,0.1875474358795662,7.241016338876897
+20.xyz,7.42855978211248,0.18754146866759897,7.24101831344488
+08.xyz,7.4285172620545215,0.18742567746709626,7.2410915845874255
