Filename,Mean
+01_2D.txt,1825.5056354155247
+02_2D.txt,1825.5086952507083
+03_2D.txt,1825.490644970846
+04_2D.txt,1825.5010856610488
+05_2D.txt,1825.502438029046
+06_2D.txt,1825.5157672711691
+07_2D.txt,1825.4990774724931
+08_2D.txt,1825.4978353929102
+09_2D.txt,1825.515958977618
+10_2D.txt,1825.5259306869154
+11_2D.txt,1825.5237002664817
+12_2D.txt,1825.5252678390948
+13_2D.txt,1825.5253011121486
+14_2D.txt,1825.5314788082599
+15_2D.txt,1825.5335970601216
+16_2D.txt,1825.5148141798713
+17_2D.txt,1825.5277132943577
+18_2D.txt,1825.5284389154124
+19_2D.txt,1825.5073558937959
+20_2D.txt,1825.5161520401023
+21_2D.txt,1825.5204546207494
+22_2D.txt,1825.5247855818586
+23_2D.txt,1825.5185362998532
+24_2D.txt,1825.516404743499
+25_2D.txt,1825.508557919033
+26_2D.txt,1825.4852641055159
+27_2D.txt,1825.498061436309
+28_2D.txt,1825.5157312966942
+29_2D.txt,1825.5100598348772
+30_2D.txt,1825.52494512011
+31_2D.txt,1825.5433671205767
+32_2D.txt,1825.517209277644
+33_2D.txt,1825.518598801292
+34_2D.txt,1825.5157932180246
+35_2D.txt,1825.499562073298
+36_2D.txt,1825.501856376878
+37_2D.txt,1825.4950173332757
+38_2D.txt,1825.4991934104685
+39_2D.txt,1825.5090666460148
+40_2D.txt,1825.514437391595
+41_2D.txt,1825.5104599982956
+42_2D.txt,1825.4981642147025
+43_2D.txt,1825.49807592829
+44_2D.txt,1825.491047519188
+45_2D.txt,1825.50248960098
+46_2D.txt,1825.5090869154071
+47_2D.txt,1825.5028620198254
+48_2D.txt,1825.512619226683
+49_2D.txt,1825.5191785089164
+50_2D.txt,1825.5166096848227
+51_2D.txt,1825.5171632817319
+52_2D.txt,1825.5188597999938
+53_2D.txt,1825.4944176580946
+54_2D.txt,1825.5106365105014
+55_2D.txt,1825.505644736909
+56_2D.txt,1825.4899928518314
+57_2D.txt,1825.4946327802486
+58_2D.txt,1825.4927244550956
+59_2D.txt,1825.4848957267375
+60_2D.txt,1825.4937169820573
+61_2D.txt,1825.4935935173921
+62_2D.txt,1825.4981934094892
+63_2D.txt,1825.494706681844
+64_2D.txt,1825.484637765211
+65_2D.txt,1825.4999012876501
+66_2D.txt,1825.5009247172504
+67_2D.txt,1825.4974574505009
+68_2D.txt,1825.4960184295066
+69_2D.txt,1825.49434797859
+70_2D.txt,1825.5040059618784
+71_2D.txt,1825.4906533132973
+72_2D.txt,1825.506591313331
+73_2D.txt,1825.5049310010643
+74_2D.txt,1825.514531053093
+75_2D.txt,1825.515581480886
+76_2D.txt,1825.5112740605737
+77_2D.txt,1825.5014563924606
+78_2D.txt,1825.5068948306832
+79_2D.txt,1825.5126043827147
+80_2D.txt,1825.50759252429
+81_2D.txt,1825.5059677061754
+82_2D.txt,1825.5012640849604
+84_2D.txt,1825.4953858576853
+85_2D.txt,1825.4968413656825
+86_2D.txt,1825.5171435454065
+87_2D.txt,1825.497045963477
+88_2D.txt,1825.496074459394
+89_2D.txt,1825.5061922055588
+90_2D.txt,1825.4950963736426
+91_2D.txt,1825.5044784757356
+92_2D.txt,1825.493305858917
+93_2D.txt,1825.4967051086887
+94_2D.txt,1825.5118228439326
+95_2D.txt,1825.5038397850294
+96_2D.txt,1825.5105342418296
+97_2D.txt,1825.5035598454085
+98_2D.txt,1825.507234608098
+99_2D.txt,1825.5138318455463
+100_2D.txt,1825.5195208150583
