Datei,Zahlenwert
2022_2_22_KW_179.txt.csv,16.059559
2022_2_22_KW_199.txt.csv,16.061254
2022_2_22_KW_186.txt.csv,16.142754
2022_2_22_KW_172.txt.csv,16.165313
2022_2_22_KW_164.txt.csv,16.21757
2022_2_22_KW_032.txt.csv,16.237048
2022_2_22_KW_178.txt.csv,16.265942
2022_2_22_KW_175.txt.csv,16.335895
2022_2_22_KW_185.txt.csv,16.41598
2022_2_22_KW_161.txt.csv,16.422124
2022_2_22_KW_036.txt.csv,16.441423
2022_2_22_KW_153.txt.csv,16.517687
2022_2_22_KW_160.txt.csv,16.543477
2022_2_22_KW_197.txt.csv,16.567254
2022_2_22_KW_183.txt.csv,16.613833
2022_2_22_KW_194.txt.csv,16.630035
2022_2_22_KW_158.txt.csv,16.665441
2022_2_22_KW_152.txt.csv,16.668977
2022_2_22_KW_123.txt.csv,16.715105
2022_2_22_KW_154.txt.csv,16.723873
2022_2_22_KW_176.txt.csv,16.853264
2022_2_22_KW_171.txt.csv,16.858254
2022_2_22_KW_167.txt.csv,16.934567
2022_2_22_KW_181.txt.csv,16.959778
2022_2_22_KW_192.txt.csv,17.107577
2022_2_22_KW_189.txt.csv,17.107705
2022_2_22_KW_159.txt.csv,17.14971
2022_2_22_KW_163.txt.csv,17.181294
2022_2_22_KW_200.txt.csv,17.244861
2022_2_22_KW_198.txt.csv,17.267882
2022_2_22_KW_169.txt.csv,17.363402
2022_2_22_KW_177.txt.csv,17.401159
2022_2_22_KW_182.txt.csv,17.450273
2022_2_22_KW_156.txt.csv,17.484483
2022_2_22_KW_190.txt.csv,17.50136
2022_2_22_KW_193.txt.csv,17.518914
2022_2_22_KW_188.txt.csv,17.522923
2022_2_22_KW_166.txt.csv,17.534676
2022_2_22_KW_133.txt.csv,17.564709
2022_2_22_KW_187.txt.csv,17.75196
2022_2_22_KW_015.txt.csv,17.850386
2022_2_22_KW_157.txt.csv,17.889388
2022_2_22_KW_129.txt.csv,17.978832
2022_2_22_KW_168.txt.csv,17.997396
2022_2_22_KW_196.txt.csv,18.142719
2022_2_22_KW_174.txt.csv,18.254414
2022_2_22_KW_201.txt.csv,18.259288
2022_2_22_KW_191.txt.csv,18.506336
2022_2_22_KW_173.txt.csv,19.206553
2022_2_22_KW_184.txt.csv,19.566487
2022_2_22_KW_144.txt.csv,20.218353
2022_2_22_KW_120.txt.csv,20.412452
2022_2_22_KW_125.txt.csv,20.642037
2022_2_22_KW_180.txt.csv,21.73415
2022_2_22_KW_136.txt.csv,22.156914
2022_2_22_KW_119.txt.csv,22.221047
2022_2_22_KW_138.txt.csv,23.949816
2022_2_22_KW_016.txt.csv,26.012426
2022_2_22_KW_078.txt.csv,27.84687
2022_2_22_KW_155.txt.csv,37.049341
2022_2_22_KW_146.txt.csv,51.099944
